country_code,region_name,iata,icao,airport,latitude,longitude
AT,Karnten,KLU,LOWK,Klagenfurt Airport,46.6425,14.3377
AT,Niederosterreich,VIE,LOWW,Vienna International Airport,48.1103,16.5697
AT,Oberosterreich,LNZ,LOWL,Linz Airport (Blue Danube Airport),48.2332,14.1875
AT,Salzburg,SZG,LOWS,Salzburg Airport,47.7933,13.0043
AT,Steiermark,GRZ,LOWG,Graz Airport,46.9911,15.4396
AT,Tirol,INN,LOWI,Innsbruck Airport (Kranebitten Airport),47.2602,11.344
AT,Vorarlberg,HOH,LOIH,Hohenems-Dornbirn Airport,47.385,9.7
BA,Federacija Bosne i Hercegovine,OMO,LQMO,Mostar Airport,43.2829,17.8459
BA,Federacija Bosne i Hercegovine,SJJ,LQSA,Sarajevo International Airport,43.8246,18.3315
BA,Federacija Bosne i Hercegovine,TZL,LQTZ,Tuzla International Airport,44.4587,18.7248
BA,Republika Srpska,BNX,LQBK,Banja Luka International Airport,44.9414,17.2975
BE,Antwerpen,ANR,EBAW,Antwerp International Airport,51.1894,4.46028
BE,Antwerpen,OBL,EBZR,Oostmalle Airfield,51.2647,4.75333
BE,Brussels Hoofdstedelijk Gewest,BRU,EBBR,Brussels Airport (Zaventem Airport),50.9014,4.48444
BE,Hainaut,CRL,EBCI,Brussels South Charleroi Airport,50.4592,4.45382
BE,Liege,LGG,EBLG,Liege Airport,50.6374,5.44322
BE,West-Vlaanderen,KJK,EBKT,Kortrijk-Wevelgem International Airport,50.8172,3.20472
BE,West-Vlaanderen,OST,EBOS,Ostend-Bruges International Airport,51.1989,2.86222
BG,Burgas,BOJ,LBBG,Burgas Airport,42.5696,27.5152
BG,Haskovo,HKV,LBHS,Haskovo Malevo Airport,41.8718,25.6048
BG,Plovdiv,PDV,LBPD,Plovdiv Airport,42.0678,24.8508
BG,Ruse,ROU,LBRS,Ruse Airport,43.6948,26.0567
BG,Silistra,SLS,LBSS,Silistra Airfield,44.0552,27.1788
BG,Sofia,SOF,LBSF,Sofia Airport,42.6967,23.4114
BG,Stara Zagora,SZR,LBSZ,Stara Zagora Airport,42.3767,25.655
BG,Targovishte,TGV,LBTG,Targovishte Airport (Buhovtsi Airfield),43.3066,26.7009
BG,Varna,VAR,LBWN,Varna Airport,43.2321,27.8251
BG,Veliko Tarnovo,GOZ,LBGO,Gorna Oryahovitsa Airport,43.1514,25.7129
BG,Yambol,JAM,,Bezmer Air Base,42.4549,26.3522
BY,Brestskaya voblasts',BQT,UMBB,Brest Airport,52.1083,23.8981
BY,Homyel'skaya voblasts',GME,UMGG,Gomel Airport,52.527,31.0167
BY,Hrodzenskaya voblasts',GNA,UMMG,Grodno Airport,53.602,24.0538
BY,Mahilyowskaya voblasts',MVQ,UMOO,Mogilev Airport,53.9549,30.0951
BY,Minskaya voblasts',MHP,UMMM,Minsk-1 Airport,53.8645,27.5397
BY,Minskaya voblasts',MSQ,UMMS,Minsk National Airport,53.8825,28.0307
BY,Vitsyebskaya voblasts',VTB,UMII,Vitebsk Vostochny Airport,55.1265,30.3496
CH,Bern,BRN,LSZB,Bern Airport,46.9141,7.49715
CH,Geneve,GVA,LSGG,Geneva Airport,46.2381,6.10895
CH,Graubunden,SMV,LSZS,Samedan Airport (Engadin Airport),46.5341,9.88411
CH,Luzern,EML,LSME,Emmen Air Base,47.0924,8.30518
CH,Nidwalden,BXO,LSZC,Buochs Airport,46.9744,8.39694
CH,Sankt Gallen,ACH,LSZR,St. Gallen-Altenrhein Airport,47.485,9.56077
CH,Ticino,LUG,LSZA,Lugano Airport,46.0043,8.91058
CH,Valais,SIR,LSGS,Sion Airport,46.2196,7.32676
CH,Zurich,ZRH,LSZH,Zurich Airport,47.4647,8.54917
CY,Ammochostos,GEC,LCGK,Gecitkale Air Base,35.2359,33.7244
CY,Larnaka,LCA,LCLK,Larnaca International Airport,34.8751,33.6249
CY,Lefkosia,ECN,LCEN,Ercan International Airport,35.1547,33.4961
