QA,Ad Dawhah,DIA,OTBD,Doha International Airport,25.2611,51.5651
SG,Singapore,SIN,WSSS,Singapore Changi Airport,1.35019,103.994
FR,Ile-de-France,CDG,LFPG,Paris Charles de Gaulle Airport,49.0097,2.54778
AE,Dubayy,DXB,OMDB,Dubai International Airport,25.2528,55.3644
DE,Bayern,MUC,EDDM,Munich Airport,48.3538,11.7861
CH,Zurich,ZRH,LSZH,Zurich Airport,47.4647,8.54917
TR,Istanbul,IST,LTFM,Istanbul Ataturk Airport,41.2753,28.7519
TH,Mae Hong Son,HGN,VTCH,Mae Hong Son Airport,19.3013,97.9758
US,Oregon,REO,KREO,Rome State Airport,42.5777,-117.885
AT,Niederosterreich,VIE,LOWW,Vienna International Airport,48.1103,16.5697
FI,Uusimaa,HEL,EFHK,Helsinki Airport (Helsinki-Vantaa Airport),60.3172,24.9633
MX,Colima,CLQ,MMIA,Licenciado Miguel de la Madrid Airport,19.277,-103.577
JP,Aichi,NGO,RJGG,Chubu Centrair International Airport,34.8584,136.805
CA,British Columbia,YVR,CYVR,Vancouver International Airport,49.1939,-123.184
JP,Osaka,KIX,RJBB,Kansai International Airport,34.4305,135.23
US,Florida,MLB,KMLB,Orlando Melbourne International Airport,28.1028,-80.6453
DK,Hovedstaden,CPH,EKCH,Copenhagen Airport,55.6179,12.656
ZA,Eastern Cape,ELS,FAEL,East London Airport,-33.0356,27.8259
BH,Al Muharraq,BAH,OBBI,Bahrain International Airport,26.2708,50.6336
NL,Noord-Holland,AMS,EHAM,Amsterdam Airport Schiphol,52.3086,4.76389
US,Washington,SEA,KSEA,Seattle-Tacoma International Airport,47.449,-122.309
CN,Guangdong,CAN,ZGGG,Guangzhou Baiyun International Airport,23.3924,113.299
JP,Fukuoka,FUK,RJFF,Fukuoka Airport (Itazuke Air Base),33.5859,130.451
CN,Hainan,HAK,ZJHK,Haikou Meilan International Airport,19.9349,110.459
US,Texas,IWS,KIWS,West Houston Airport,29.8182,-95.6726
DE,Nordrhein-Westfalen,MGL,EDLN,Dusseldorf Monchengladbach Airport,51.2303,6.50444
AU,Queensland,BNE,YBBN,Brisbane Airport,-27.3842,153.117
US,Wisconsin,RNH,KRNH,New Richmond Regional Airport,45.1483,-92.5381
DE,Hessen,FRA,EDDF,Frankfurt Airport,50.0333,8.57056
CN,Guangdong,SZX,ZGSZ,Shenzhen Bao'an International Airport,22.6393,113.811
OM,Ad Dakhiliyah,MCT,OOMS,Muscat International Airport,23.5933,58.2844
DE,Hamburg,XFW,EDHI,Hamburg Finkenwerder Airport,53.5353,9.83556
ES,Catalunya,BCN,LEBL,Barcelona El Prat Airport,41.2971,2.07846
CN,Shanghai,SHA,ZSSS,Shanghai Hongqiao International Airport,31.1979,121.336
NZ,Auckland,AKL,NZAA,Auckland Airport,-37.0081,174.792
US,Kentucky,CVG,KCVG,Cincinnati/Northern Kentucky International Airport,39.0488,-84.6678
VN,Son La,SQH,VVNS,Na San Airport,21.217,104.033
CO,Cundinamarca,MND,,Medina Airport,4.51667,-73.2833
GB,Scotland,PSL,EGPT,Perth Airport (Scone Airport),56.4392,-3.37222
ZA,Western Cape,CPT,FACT,Cape Town International Airport,-33.9648,18.6017
AU,New South Wales,SYD,YSSY,Sydney Airport (Kingsford Smith Airport),-33.9461,151.177
VE,Miranda,LRV,SVRS,Los Roques Airport,11.95,-66.67
PK,Sindh,HDD,OPKD,Hyderabad Airport,25.3181,68.3661
IR,Hormozgan,AEU,OIBA,Abu Musa Airport,25.8757,55.033
CA,Ontario,YYZ,CYYZ,Toronto Pearson International Airport,43.6797,-79.6227
US,Texas,DFW,KDFW,Dallas/Fort Worth International Airport,32.8968,-97.038
AU,South Australia,ADL,YPAD,Adelaide Airport,-34.945,138.531
TW,Taoyuan,TPE,RCTP,Taiwan Taoyuan International Airport,25.0777,121.233
US,Georgia,AHN,KAHN,Athens Ben Epps Airport,33.9486,-83.3263
US,Oregon,GOL,,Gold Beach Municipal Airport,42.4134,-124.424
US,Colorado,DEN,KDEN,Denver International Airport,39.8617,-104.673
US,Georgia,ATL,KATL,Hartsfield-Jackson Atlanta International Airport,33.6367,-84.4281
MY,Selangor,KUL,WMKK,Kuala Lumpur International Airport,2.74558,101.71
CN,Sichuan,TFU,ZUTF,Chengdu Tianfu International Airport,30.319,104.445
NO,Akershus,OSL,ENGM,Oslo Airport,60.1939,11.1004
HU,Budapest,BUD,LHBP,Budapest Ferenc Liszt International Airport,47.4298,19.2611
US,Arizona,PHX,KPHX,Phoenix Sky Harbor International Airport,33.4343,-112.012
PT,Regiao Autonoma da Madeira,PXO,LPPS,Porto Santo Airport,33.0734,-16.35
SE,Stockholms lan,ARN,ESSA,Stockholm Arlanda Airport,59.6519,17.9186
US,Montana,MLK,,Malta Airport,48.3669,-107.919
US,New Mexico,GNT,KGNT,Grants-Milan Municipal Airport,35.1673,-107.902
DE,Nordrhein-Westfalen,CGN,EDDK,Cologne Bonn Airport,50.8659,7.14274
PT,Lisboa,LIS,LPPT,Lisbon Portela Airport,38.7813,-9.13592
IN,Goa,GOI,VOGO,Goa International Airport (Dabolim Airport),15.3808,73.8314
VN,Da Nang,DAD,VVDN,Da Nang International Airport,16.0439,108.199
US,New Hampshire,MHT,KMHT,Manchester-Boston Regional Airport,42.9326,-71.4357
CN,Hunan,CSX,ZGHA,Changsha Huanghua International Airport,28.1892,113.22
US,Minnesota,DTL,KDTL,Detroit Lakes Airport (Wething Field),46.8252,-95.8857
US,New Hampshire,BML,KBML,Berlin Regional Airport,44.5754,-71.1759
